filename,width,height,class,xmin,ymin,xmax,ymax,centerx,centery,b-width,b-height
D:/Google-Drive/Technology/airboat/ML/dev/CUB_200_2011/images\001.Black_footed_Albatross/Black_Footed_Albatross_0046_18.jpg,500,335,001.Black_footed_Albatross,60,27,385,331,222,179,325,304
D:/Google-Drive/Technology/airboat/ML/dev/CUB_200_2011/images\001.Black_footed_Albatross/Black_Footed_Albatross_0009_34.jpg,500,336,001.Black_footed_Albatross,139,30,292,294,215,162,153,264
D:/Google-Drive/Technology/airboat/ML/dev/CUB_200_2011/images\001.Black_footed_Albatross/Black_Footed_Albatross_0002_55.jpg,500,347,001.Black_footed_Albatross,14,112,402,298,208,205,388,186
D:/Google-Drive/Technology/airboat/ML/dev/CUB_200_2011/images\001.Black_footed_Albatross/Black_Footed_Albatross_0074_59.jpg,415,500,001.Black_footed_Albatross,112,90,367,332,239,211,255,242
D:/Google-Drive/Technology/airboat/ML/dev/CUB_200_2011/images\001.Black_footed_Albatross/Black_Footed_Albatross_0014_89.jpg,331,380,001.Black_footed_Albatross,70,50,204,353,137,201,134,303
D:/Google-Drive/Technology/airboat/ML/dev/CUB_200_2011/images\001.Black_footed_Albatross/Black_Footed_Albatross_0085_92.jpg,500,470,001.Black_footed_Albatross,33,53,284,448,158,250,251,395
D:/Google-Drive/Technology/airboat/ML/dev/CUB_200_2011/images\001.Black_footed_Albatross/Black_Footed_Albatross_0031_100.jpg,500,340,001.Black_footed_Albatross,7,75,427,337,217,206,420,262
D:/Google-Drive/Technology/airboat/ML/dev/CUB_200_2011/images\001.Black_footed_Albatross/Black_Footed_Albatross_0051_796103.jpg,500,391,001.Black_footed_Albatross,78,86,411,244,244,165,333,158
D:/Google-Drive/Technology/airboat/ML/dev/CUB_200_2011/images\001.Black_footed_Albatross/Black_Footed_Albatross_0010_796097.jpg,500,416,001.Black_footed_Albatross,112,76,333,265,222,170,221,189
D:/Google-Drive/Technology/airboat/ML/dev/CUB_200_2011/images\001.Black_footed_Albatross/Black_Footed_Albatross_0025_796057.jpg,250,208,001.Black_footed_Albatross,27,4,226,205,126,104,199,201
D:/Google-Drive/Technology/airboat/ML/dev/CUB_200_2011/images\001.Black_footed_Albatross/Black_Footed_Albatross_0023_796059.jpg,350,350,001.Black_footed_Albatross,1,52,343,312,172,182,342,260
D:/Google-Drive/Technology/airboat/ML/dev/CUB_200_2011/images\001.Black_footed_Albatross/Black_Footed_Albatross_0086_796062.jpg,420,280,001.Black_footed_Albatross,47,21,226,270,136,145,179,249
D:/Google-Drive/Technology/airboat/ML/dev/CUB_200_2011/images\001.Black_footed_Albatross/Black_Footed_Albatross_0049_796063.jpg,307,500,001.Black_footed_Albatross,36,32,233,489,134,260,197,457
D:/Google-Drive/Technology/airboat/ML/dev/CUB_200_2011/images\001.Black_footed_Albatross/Black_Footed_Albatross_0006_796065.jpg,350,350,001.Black_footed_Albatross,37,40,299,224,168,132,262,184
D:/Google-Drive/Technology/airboat/ML/dev/CUB_200_2011/images\001.Black_footed_Albatross/Black_Footed_Albatross_0040_796066.jpg,500,379,001.Black_footed_Albatross,23,80,418,317,220,198,395,237
